ID,Code_Length,Line_Count,Total_Vulnerabilities,TP,FP,FN,Precision,Recall,F1_Score,Total_Time,Detection_Time,Vulnerability_Types,CWE_Categories,CVE_Count,Top_Vulnerability,Confidence_Avg
sql_injection_1,325,14,1,1,0,0,1.0000,1.0000,1.0000,0.0020,0.0020,sql_injection,CWE-89,0,sql_injection,0.800
sql_injection_2,442,20,1,0,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,hardcoded_credentials,CWE-798,0,hardcoded_credentials,0.900
command_injection_1,224,8,1,0,1,1,0.0000,0.0000,0.0000,0.0010,0.0010,subprocess_shell,CWE-78,0,subprocess_shell,0.900
command_injection_2,102,6,1,0,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,subprocess_shell,CWE-78,0,subprocess_shell,0.900
code_injection_1,102,5,1,0,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,eval_exec,CWE-94,0,eval_exec,0.950
code_injection_2,93,6,1,0,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,eval_exec,CWE-94,0,eval_exec,0.950
hardcoded_credentials_1,357,14,5,1,4,1,0.2000,0.5000,0.2857,0.0010,0.0010,vulnerable_package; hardcoded_credentials; insecure_requests,CWE-798; CWE-295; CWE-1104,2,vulnerable_package,0.820
hardcoded_credentials_2,246,13,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,,,0,None,0.000
weak_crypto_1,126,6,1,0,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,weak_crypto,CWE-327,0,weak_crypto,0.800
weak_crypto_2,124,6,1,0,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,weak_crypto,CWE-327,0,weak_crypto,0.800
deserialization_1,177,8,2,0,2,1,0.0000,0.0000,0.0000,0.0000,0.0000,pickle_load; deserialization,CWE-502,0,pickle_load,0.850
deserialization_2,111,6,1,0,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,deserialization,CWE-502,0,deserialization,0.800
path_traversal_1,207,8,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,,,0,None,0.000
path_traversal_2,155,6,0,0,0,1,0.0000,0.0000,0.0000,0.0010,0.0010,,,0,None,0.000
insecure_requests_1,161,7,2,0,2,1,0.0000,0.0000,0.0000,0.0000,0.0000,vulnerable_package,CWE-1104,2,vulnerable_package,0.800
insecure_requests_2,160,7,3,0,3,1,0.0000,0.0000,0.0000,0.0000,0.0000,vulnerable_package; insecure_requests,CWE-295; CWE-1104,2,vulnerable_package,0.767
xxe_1,151,7,0,0,0,1,0.0000,0.0000,0.0000,0.0010,0.0010,,,0,None,0.000
xxe_2,158,7,1,0,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,xxe,CWE-611,0,xxe,0.850
multiple_vulns_1,655,24,3,0,3,3,0.0000,0.0000,0.0000,0.0000,0.0000,hardcoded_credentials; subprocess_shell; weak_crypto,CWE-798; CWE-327; CWE-78,0,hardcoded_credentials,0.867
multiple_vulns_2,602,23,6,1,5,3,0.1667,0.2500,0.2000,0.0010,0.0010,hardcoded_credentials; pickle_load; insecure_requests; vulnerable_package; deserialization,CWE-798; CWE-295; CWE-502; CWE-1104,2,vulnerable_package,0.817
flask_vulnerable_app,885,35,6,0,6,4,0.0000,0.0000,0.0000,0.0011,0.0011,vulnerable_package; hardcoded_credentials; weak_crypto,CWE-798; CWE-327; CWE-1104,4,vulnerable_package,0.817
django_vulnerable_view,870,31,3,0,3,3,0.0000,0.0000,0.0000,0.0010,0.0010,pickle_load; subprocess_shell; deserialization,CWE-502; CWE-78,0,pickle_load,0.867
